originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
1178367126 734962107  57192   80    6     21
2505297172 100426821  51828   8004    6     4
1805949465 1797126337  47898   80    6     6
23871843 23117907  11611   443    6     4
1671310434 19791382  58558   8100    6     2
2071857405 26511306  10541   29489    6     1
730555784 19114671  51344   9339    6     4
2041856884 1712236439  58419   80    6     1
730555787 736977147  3125   9339    6     2
498691269 721986066  7409   443    6     4
1838352451 16920503  47136   9339    6     1
2116647203 3504996040  36509   443    6     1
1783899858 16794434  33935   9339    6     1
1783900014 16962131  26762   9339    6     1
730555823 2310461246  37120   9339    6     1
1956913689 23470093  52975   443    6     1
730555796 21792296  5050   9339    6     1
2061119176 23472346  53658   443    6     2
1888988146 3504996151  41960   443    6     4
836713892 734963322  60051   443    6     6
3341947675 1093333767  35567   80    6     2
730555753 26425636  37103   9339    6     1
2249968973 3530317243  57491   80    6     8
2042356853 24924667  48346   443    6     1
1888987671 59390923  62859   443    6     2
2346636748 722836099  62849   80    6     1
730555776 23428916  52570   9339    6     1
1543515253 3530315443  43542   80    6     2
1956922564 66651081  37219   4244    6     1
1783900014 16962131  54494   9339    6     1
3430878396 26224596  55956   443    6     2
3384577689 23820812  58810   80    6     1
730555749 19267887  55264   9339    6     1
1671310356 59061308  52708   8100    6     4
23887031 23116217  4859   443    6     37
2183876331 18995470  61521   443    6     1
1956961714 66799806  31124   443    6     1
1906189143 1760141481  11978   29739    17     1
1670602120 24019159  13839   9339    6     1
1838352470 16932734  14581   9339    6     2
1805944603 67065261  33139   80    6     1
1426598107 3326852922  22397   0    6     1
257157333 2579592655  80   54555    6     1
1113877233 19722670  8044   443    6     3
2153005660 16899616  17639   9339    6     1
1968158209 59082032  55202   443    6     3
1113912518 3530307824  17618   80    6     2
1884514408 23111660  61972   443    6     3
1956958550 16847397  50499   9339    6     2
730555768 26872452  10031   9339    6     1
1805950235 67065261  51849   80    6     1
1956922515 99815840  54028   443    6     2
3606049035 2579574500  59815   80    6     1
849022019 721986086  52534   443    6     2
849266005 66896474  11989   443    6     1
730555807 2310461246  16341   9339    6     11
3630797264 3504995923  443   45562    6     2
661256076 1714137321  59561   443    6     1
973971726 3504996071  48995   443    6     1
2453496786 99682451  4275   8080    6     4
523606361 1712231754  51399   80    6     1
730555748 16881078  42841   9339    6     3
730555791 99651588  16736   9339    6     10
3279184143 2579574503  36654   443    6     8
1805949436 1797126337  50646   80    6     5
1838352616 24038194  5896   9339    6     1
1118131830 2313299321  58466   80    6     4
3300974706 2207999590  14624   9437    6     1
2341638458 602983381  21797   80    6     3
3284178919 1875764420  33033   25988    6     1
1980427379 60233155  49250   443    6     1
1956940618 66650878  25516   4244    6     1
1886352014 23111341  39067   443    6     4
2011858995 23111664  1691   443    6     363
2450300354 722001738  55815   80    6     12
1748464331 3327463661  40275   80    6     4
2153006005 26900860  63530   9339    6     2
1956960198 66799806  6013   443    6     1
2579620719 1714137294  51594   443    6     1
485150427 23118542  51356   443    6     1
3615559630 2579592661  59034   80    6     8
3434285654 60758264  53357   80    6     1
2878637247 3530308652  62389   80    6     3
722669469 3710835904  44360   80    6     15
730555752 27136379  63928   9339    6     1
730555781 16918200  8709   9339    6     2
3505835830 1093332302  32318   80    6     2
730555748 21792296  48891   9339    6     1
2313531407 3710835951  34068   80    6     2
2579601186 2579574771  80   53992    6     29
1838352614 16962131  47428   9339    6     1
203786089 736919882  53814   443    6     5
1191159258 3547002473  3248   80    6     2
1391038085 1177976657  57745   51413    6     3
3597184514 602983364  47596   443    6     5
1457824339 1760529029  9999   39382    6     3
730555814 19282782  59916   9339    6     1
172707214 66744656  63401   80    6     1
2152116955 737093868  49468   443    6     3
3430484370 66905911  62767   80    6     1
2181212277 66746045  65278   80    6     3
1123948618 1093330062  46869   80    6     2
840550647 65897846  52340   80    6     1
3065373168 722848955  49339   443    6     2
2341638424 602983364  5412   443    6     9
730555769 16922196  55871   9339    6     1
1604486965 2579574321  34048   53    17     1
1661394713 23116076  53778   80    6     1
1101171499 19755549  80   7519    6     4
2121092148 26908438  49898   443    6     1
730555016 24038194  17716   9339    6     2
734930036 3710835880  53   36053    17     1
2344577480 602983415  55018   443    6     4
732834165 98831677  80   59623    6     3
3349202373 100412018  64260   80    6     4
730555748 19261681  34674   9339    6     2
1093670703 1093332302  44012   80    6     2
1838352478 736977402  27541   9339    6     6
730555745 19267887  12667   9339    6     1
2153007024 16924095  61357   9339    6     1
730555821 26699966  17197   9339    6     3
730555766 736977402  44483   9339    6     1
225117746 3703109375  27776   53    17     1
3381703977 734964507  49379   80    6     1
2116353390 1797186947  56075   443    6     5
2533404682 1130511862  51569   36645    17     1
2153050948 23438206  57024   9339    6     2
973967228 2579592484  36420   80    6     1
3312340986 23107303  8413   443    6     9
1149159088 496375897  443   24539    6     19
2195092362 721989399  52500   443    6     2
2153010152 1797005919  20843   443    6     2
1814127846 23111381  56554   443    6     3
1783899794 24050628  5552   9339    6     1
2651476693 26535108  53762   5222    6     1
730555802 26880108  32486   9339    6     1
485061596 23118542  45401   443    6     2
3707875421 3530318718  58320   25    6     1
3325391717 53082675  47400   443    6     4
603789942 3376310664  57624   80    6     3
1838352495 19114671  2726   9339    6     1
1956939793 23106728  27467   443    6     1
3326109109 99624765  64655   80    6     1
835783421 2579592499  35863   80    6     1
1805949894 24966308  38827   443    6     6
730555746 26651413  22626   9339    6     1
3293306351 2439509541  16970   443    6     5
730555809 99665261  52531   9339    6     1
1713040879 734982409  36990   443    6     4
1136402463 2313298397  64020   80    6     1
3378274607 1102522128  25115   53    17     1
1671310357 19734205  58228   8100    6     6
1800327034 3530307824  15257   80    6     2
3510831275 21124817  65279   443    6     3
2153051707 1797189548  57379   443    6     2
730555746 26951074  32008   9339    6     1
730555791 24050628  36575   9339    6     1
730555016 19068949  33301   9339    6     1
3430122347 23478423  58197   80    6     1
179206070 1099824912  53665   23    6     1
2130745882 66744656  58382   80    6     1
2313526288 2579574398  36075   443    6     1
1867405210 100424890  52521   80    6     2
730555754 26617408  9290   9339    6     1
3466437965 66856671  62281   80    6     1
2153012582 18920906  1073   443    6     3
2047752454 737095359  53873   80    6     1
730555804 19012239  20469   9339    6     1
3597182438 602983364  52341   443    6     6
730555783 17802978  10863   9339    6     1
2184283665 1797115363  59033   443    6     3
730555808 17564197  63086   9339    6     1
2341638427 602983364  41954   443    6     4
2051977944 24926082  59098   443    6     1
2341638415 602983364  12806   443    6     18
1838352470 19033841  12425   9339    6     1
1913673078 52989286  50530   443    6     2
1800300800 100424890  42811   80    6     2
2130792378 23906139  57060   443    6     1
2579602054 1130480273  80   38243    6     6
1971098749 65857042  63606   80    6     2
263509838 3387941172  31364   2189    6     1
2579601268 3504996328  80   35914    6     5
1886892948 23478423  20431   443    6     2
730555815 19327657  46229   9339    6     1
3082660629 66822323  62291   80    6     1
235452937 2579574432  64687   53    17     1
1838352616 16851627  49095   9339    6     1
1113876392 3530315443  22752   80    6     2
3548110044 3326272531  53   18280    17     1
2144376922 23494450  56375   443    6     2
2153009668 67084790  3806   443    6     1
604311116 66638881  64269   443    6     1
3416176714 60757728  23071   443    6     6
3084407144 60268712  62108   443    6     4
3379157307 21121167  36341   443    6     2
3587324281 1102514036  23265   80    6     2
730555768 26651413  38470   9339    6     1
3597184535 602983364  49723   443    6     2
191048638 23116468  52799   80    6     1
730555798 736977147  48159   9339    6     3
827844596 724248663  34166   80    6     1
1721686758 3530307825  49223   80    6     2
737650440 496376070  2048   65224    1     1
2186112000 60246842  32573   443    6     50
2450118844 60164379  42012   80    6     14
730555752 26425636  2947   9339    6     1
1544429142 100427088  58836   443    6     1
495403565 100424890  63270   80    6     1
1783899860 16922196  27558   9339    6     1
1113881000 3547002473  15500   80    6     1
730555805 99665261  3003   9339    6     1
730555813 99665261  60328   9339    6     10
833368881 100432185  64609   80    6     1
666338635 60803826  64393   443    6     2
730555762 19267887  3153   9339    6     5
1669629981 59002840  8090   55563    6     1
730555664 2310507058  18829   9339    6     9
2641434554 60181580  27591   80    6     68
3597182438 602983364  50587   443    6     1
938080004 1099795076  53   3956    17     1
1967467944 66710379  53561   443    6     1
2041858014 19820670  51564   443    6     3
730555772 16918200  49965   9339    6     2
23871947 23107470  56228   80    6     1
3326183163 734963344  10463   443    6     3
730555788 22100091  58985   9339    6     1
345639131 667454637  61260   123    17     1
1956938791 2310458190  27745   9339    6     2
3723176182 1225133972  24118   57389    6     6
2153009931 17769503  4919   9339    6     1
938628219 2579574368  34839   80    6     2
1870509347 100424890  59497   80    6     2
3623955513 3328970467  35980   53    17     1
1711599972 721997389  51183   80    6     1
3402694792 23489653  43069   443    6     2
1971224869 66775252  57950   443    6     3
3572401392 19882445  33891   443    6     3
2251987803 100428215  49340   443    6     1
1709400618 100432468  61151   80    6     1
1101171499 18913299  80   25365    6     2
730555803 23570923  5119   9339    6     1
3084870299 737088722  56106   443    6     3
609574491 385189735  54941   23    6     1
730555793 17802978  56475   9339    6     6
1110990698 1875764477  9008   47759    6     2
604322898 66651003  1474   4244    6     2
730555763 736977147  3054   9339    6     5
1671310434 58983501  27470   8100    6     4
849265748 67013780  3397   443    6     1
730555771 16918200  50195   9339    6     1
1137079514 2472883261  65139   443    6     1
2182401149 60782247  64264   80    6     4
291839577 1711531063  25848   37172    6     1
724250400 3328255592  80   59673    6     22
2359670629 3530303356  2729   80    6     1
1149014243 2250677251  18213   443    6     2
730555019 1797105836  9835   9339    6     1
1838352470 21792296  47621   9339    6     1
1956925273 65990072  25972   80    6     2
1783899866 99651588  59263   9339    6     1
3692055671 2612430588  0   48058    1     1
1956916982 17767633  51417   9339    6     1
730555765 16794068  45506   9339    6     3
2169484459 1875764453  51206   58973    6     1
1111240020 3328970444  46606   53    17     1
1103689181 2472877250  64957   443    6     4
730555766 23563012  15466   9339    6     1
172914133 19848980  10441   443    6     2
1805949428 1797126337  47487   80    6     2
1642112753 3530307825  1070   80    6     1
730555786 19068949  25702   9339    6     1
1240611484 1099817668  22543   5061    17     1
498774721 721991869  50403   443    6     1
730555662 16920503  13537   9339    6     1
3446434622 60775367  54745   443    6     1
2153052711 19811454  4434   443    6     1
3326904097 3384391982  1934   53    17     1
2766884548 3530307824  55014   80    6     2
1671310342 19904210  43552   8100    6     2
665784366 1714138852  49969   443    6     3
2159787361 23811516  10502   443    6     2
2463094004 1121454342  65532   80    6     3
3625875912 23131398  34420   80    6     3
2169002771 3710835823  51787   443    6     1
2139898657 67029952  57504   80    6     1
730555775 16794068  57899   9339    6     2
1783899859 26651413  30380   9339    6     1
2593649072 100425267  5306   80    6     2
730555823 2310507058  36130   9339    6     1
2593651932 3530307824  65394   80    6     2
252758908 23905526  61007   443    6     1
733894102 100425267  50017   80    6     2
498691269 721986066  22924   443    6     15
2476397435 19725269  50881   80    6     3
1971084840 66717630  55001   80    6     3
730555764 17038160  52723   9339    6     1
1783899860 23563012  33129   9339    6     1
730555782 16881078  64079   9339    6     1
2739143132 1093330044  8080   49193    6     7
1233533471 721996473  57537   443    6     1
1838352396 16962131  8506   9339    6     2
2476397046 1760530380  62023   1776    17     2
3430876213 66803961  60204   80    6     2
100026442 1099823986  443   29789    6     1
3503078681 3326272515  53   50880    17     1
3474852142 65970678  58520   80    6     2
3599341322 3720596652  3389   1203    6     10
3494771466 2579574729  80   59511    6     1
3537696002 19298264  55000   5558    17     1
3597182437 602983364  37093   443    6     2
1642121261 3530307825  63523   80    6     2
1956916403 66780500  29493   80    6     2
1838352396 16881078  61981   9339    6     1
2462536856 734964507  51251   80    6     4
1838981473 99625817  53718   443    6     8
2355538322 602983408  59966   443    6     3
2182300683 23107547  63243   80    6     3
3565034861 59465822  57599   80    6     1
2579601196 2579574595  443   48753    6     2
3691266381 99875880  11570   443    6     1
730555798 24050628  51576   9339    6     2
1864748887 52959121  43024   443    6     3
1956941207 1797243156  20894   443    6     2
730555802 17765265  42897   9339    6     1
730555822 2310461246  50204   9339    6     1
730555805 16842478  6213   9339    6     2
1783900014 16881078  60645   9339    6     1
2041931715 60199304  32786   80    6     1
1671310434 21123143  63666   8100    6     4
730555801 1797105836  17238   9339    6     3
1805944395 23520610  36058   80    6     1
3083342038 2310536811  53104   80    6     1
1721571221 1875764384  52902   1194    17     2
3711809271 734963739  55775   443    6     1
666237913 21036299  28772   443    6     5
822911557 734971232  22326   80    6     1
2051398053 65994252  51588   443    6     2
1757552559 53218005  41074   443    6     2
3142310124 2405637331  27059   54082    6     9
3469444878 2579574456  62637   80    6     1
730555789 736977402  24682   9339    6     1
1886894649 23479622  22664   443    6     1
730555745 16962131  1379   9339    6     1
730555747 2310469933  11864   9339    6     1
23111211 3504996322  80   34891    6     60
2181824641 1797011381  54481   443    6     2
1127681633 721980255  50698   80    6     3
2153009651 22771525  5877   9339    6     2
1246345045 1225137968  80   63430    6     4
1109598709 602983408  36427   443    6     12
2579601268 3504996322  80   60800    6     9
730975382 3504996200  57287   443    6     5
730555764 22100091  20233   9339    6     1
2498261357 1875764385  62140   55807    17     4
2319990317 2828223900  53301   443    6     1
730555783 16851627  22582   9339    6     2
1913222027 66818359  52081   80    6     3
1224797143 2300678917  80   50704    6     1
1687456415 724248784  62702   443    6     1
1870238484 100426866  58950   80    6     2
1814131850 23473066  14089   443    6     3
1800327034 3327463648  21576   80    6     9
2153010359 3327127505  34650   80    6     2
730555792 23428916  11776   9339    6     1
3602360387 602983415  50728   443    6     2
252758795 65821397  45076   443    6     2
3481822149 23111433  9722   443    6     3
3084891451 26399433  56314   443    6     3
1991503746 1797178834  47323   443    6     1
2666372250 602983364  64893   443    6     6
3483871806 23111430  46763   443    6     2
1956925224 66650922  37172   443    6     1
730555656 16851627  37636   9339    6     2
3334827232 3327881267  34550   53    17     1
2153012155 24917865  30665   443    6     1
1617131158 23490207  3838   443    6     1
2421565848 99691035  52993   443    6     3
1838352451 16794068  57593   9339    6     1
2747474992 65930975  49420   443    6     1
730555019 27136379  1588   9339    6     1
2068947904 1115925831  16876   16125    17     1
730555806 26880108  16675   9339    6     1
3597182436 602983364  51732   443    6     13
3625049047 3625048567  443   49508    6     2
1783899860 19114671  10980   9339    6     2
1783899866 22100091  62411   9339    6     2
730555767 26951074  50993   9339    6     1
3373505879 300601259  80   39242    6     1
3481517909 23111341  10988   443    6     1
730555786 16932734  14628   9339    6     1
1293232804 1166260285  443   1152    17     1
3083152502 737104121  61996   443    6     1
730555789 23563012  16433   9339    6     1
2153006275 16900606  1727   8080    6     1
1838352614 16962131  4639   9339    6     1
2153005268 66779728  41763   443    6     1
3439460319 23906130  59860   443    6     1
2042263641 26526409  6286   443    6     1
2311339351 26539085  53599   443    6     5
2579627141 3710835899  443   54755    6     4
730555764 19261681  13214   9339    6     1
2182331370 736930952  55681   33434    17     1
1670688525 19833498  80   23951    6     1
730555753 24050628  34179   9339    6     1
3687069167 3530300009  35615   80    6     5
1189713497 3530307824  15733   80    6     2
2063100431 24943102  60483   32100    17     1
1721759539 3530307824  59819   80    6     2
1805950171 737084163  40152   80    6     2
2402994657 1758552630  33604   80    6     2
3460081626 722836099  2053   443    6     1
2341638423 602983381  22653   80    6     4
3481843909 23111441  17160   443    6     10
1931409068 602983415  59521   443    6     34
3334810178 1379157386  0   64662    1     1
2394513598 602983422  49919   443    6     2
1224742461 737993423  36157   9050    6     2
730555745 26872452  64076   9339    6     1
1113913834 2705660452  28238   123    17     1
1838352616 24050628  11858   9339    6     1
1121217942 1711435092  80   49732    6     1
3529919420 59065870  51106   443    6     24
730555784 27136379  11502   9339    6     1
1719636423 3693459033  9097   53    17     1
23871885 23905778  60070   443    6     18
730555661 19261681  26637   9339    6     1
1742666495 100432165  29376   80    6     1
1137266230 3524333798  1853   57072    17     2
3327712508 3327712113  56761   20491    17     1
1913253375 98838978  43249   50791    17     1
666227563 26365288  38035   443    6     4
730555783 736977147  50354   9339    6     5
1158479641 2579574774  443   37431    6     1
2012343384 23472079  8267   443    6     3
1215100795 2637498117  49829   5938    6     1
3514971545 721988051  29588   80    6     2
730555777 16932734  7008   9339    6     1
2042443077 1797212626  34522   80    6     2
1805949010 23520610  33578   80    6     2
730555788 19261681  57615   9339    6     1
1805944519 17366790  46769   80    6     2
3441631287 602983408  43335   443    6     1
3467089699 2579574629  61684   443    6     2
1617119904 16940586  48347   9339    6     1
730555750 16851627  3716   9339    6     1
1800333511 3547002475  29881   80    6     1
171148641 3703109387  48169   53    6     1
1956922295 22802809  21171   443    6     1
1928254889 21107067  54543   443    6     1
1127726959 734964507  59231   80    6     4
191048638 23116468  52123   80    6     1
2153011222 737100381  18086   443    6     4
1928253758 19791647  21410   443    6     1
1671311014 19794779  56810   8100    6     4
1139264029 734964507  12105   80    6     1
666230329 23905588  50188   443    6     1
1137683583 2472884005  23982   443    6     16
2529559450 2989561826  35654   8531    6     1
730555777 19261681  13085   9339    6     1
730555755 19033841  10048   9339    6     1
826602765 2637498115  50802   443    6     1
2579568084 737992737  12347   63382    17     1
2274403133 1264216447  17433   80    6     2
730555798 16932734  11701   9339    6     1
730555768 19033841  3805   9339    6     1
3525132153 3504996044  80   53167    6     1
3567796962 23131442  49464   443    6     1
2061354886 60709621  3349   443    6     6
730555775 24038194  44031   9339    6     2
3696224672 23906050  15260   443    6     1
1838352614 736977147  60215   9339    6     1
2193483530 0  0   0    255     6
1913199149 59462393  58643   443    6     4
2123641773 3710835820  42198   443    6     1
2051394674 24927360  54522   443    6     1
1783899899 26425636  26347   9339    6     1
730555781 19114671  36288   9339    6     1
973315000 1712238455  55815   80    6     3
1803958836 3343010302  40511   80    6     2
64612028 1148891085  80   16491    6     1
3279570349 1758552630  33727   443    6     3
730555662 17573443  37247   9339    6     2
97140173 2579574734  443   35710    6     30
730555790 17630602  28442   9339    6     1
730555797 16922196  43816   9339    6     1
730555755 736977402  1846   9339    6     1
3735170785 1875764355  11782   22473    17     1
3152038894 602983422  50012   443    6     2
2069033036 99690056  56741   443    6     1
730555782 16962131  6606   9339    6     1
2186112765 724248784  2048   45642    1     1
730555765 16962131  39281   9339    6     2
1865124541 602983370  41477   443    6     2
730555744 19325884  64323   9339    6     1
2153052129 17305851  43711   443    6     2
730555777 1797105836  58588   9339    6     1
1783900014 16881078  37864   9339    6     1
1671311029 26270610  48565   8100    6     1
604311093 22099513  28214   9339    6     2
3341945624 1093333767  3436   80    6     5
2116351645 66814096  57129   80    6     3
730555807 19012239  50661   9339    6     2
3354862498 1240508275  80   52395    6     3
661592914 66630645  42856   30000    6     5
1970590666 2310414582  61137   443    6     3
1156415841 2612429372  57073   80    6     1
3376095859 18985979  51345   443    6     1
2153009250 1797021339  28581   443    6     3
1663749257 66640113  8571   443    6     10
731208349 2579574367  59700   443    6     3
1838352614 16920503  60349   9339    6     1
1641979821 3692029362  36196   443    6     3
2794129670 1225186240  443   55703    6     3
59158402 3540001558  64633   53    17     1
218212611 2579574364  51501   443    6     1
2593649108 100432468  40861   80    6     2
2184418308 23479622  49971   443    6     2
730554389 736977147  24957   9339    6     1
2313533392 2579574336  41325   443    6     8
1838352614 27136379  57624   9339    6     1
3597182463 602983364  34492   443    6     3
1255637385 3547002473  61378   80    6     2
2116647214 2579574336  61279   443    6     3
730555795 19261681  44677   9339    6     1
1783899786 16918200  39333   9339    6     1
730555663 16922196  38600   9339    6     1
730555752 27136379  12882   9339    6     1
3702651121 724248691  62170   443    6     2
3094464964 1875764312  27871   59043    6     1
730555790 23428916  16209   9339    6     1
1783899899 19068949  33554   9339    6     2
232989750 65939157  14716   80    6     1
1146004985 1875764431  37110   22183    17     1
1671311014 59061308  60916   8100    6     1
666328988 17583961  55000   5558    17     1
1956916908 65838179  42776   443    6     1
1956962128 66650825  43208   443    6     1
730555661 22738387  18240   9339    6     2
730555789 19207164  5972   9339    6     1
3329061853 721993338  31981   443    6     1
730975340 3504996151  36552   443    6     3
830495428 1136898410  40390   53    17     1
1118504449 3547002475  1151   80    6     1
3494771456 2579574729  80   45500    6     1
730555780 17804973  60749   9339    6     1
2153010141 23464897  44191   443    6     2
1179506267 1875764331  52879   8080    17     2
1945089022 23111391  59095   443    6     3
1101171499 26293911  80   53209    6     4
1671311015 19794779  50424   8100    6     5
1808967954 724248761  51529   80    6     1
2459911331 3530307833  35275   80    6     2
1110986168 1093333767  35562   80    6     3
730555768 19325884  52332   9339    6     10
730555811 26699966  16120   9339    6     1
1895041280 99869804  61642   443    6     1
730555751 26651413  16636   9339    6     2
1101171499 19709676  80   5583    6     2
1461904408 3526528061  50255   443    6     1
1460901689 3710836118  34972   9043    17     2
2632825627 1797015240  8803   32100    17     1
3693016082 67058581  38134   443    6     1
730555768 16920503  62761   9339    6     1
730555766 16794434  40685   9339    6     1
2383822206 3504996151  40647   443    6     3
1149131346 2579574767  443   39079    6     1
1671311029 19872776  57852   8100    6     7
730555799 26872452  27927   9339    6     1
1276046610 59454788  47176   80    6     1
1671310458 21123346  30774   8100    6     2
1109598709 67045082  1997   20801    6     1
1224847759 18977258  43762   80    6     3
1257812075 602983422  61798   443    6     121
2389380441 602983422  49332   443    6     12
3724074636 1240508413  44580   443    6     1
2476397313 23906361  40437   443    6     1
2364788376 2300817354  44441   54190    17     1
252823348 2579574767  443   50236    6     2
2181352632 18996152  64059   80    6     3
1783899795 16962131  64418   9339    6     1
730554381 26651413  13882   9339    6     2
1113911602 737145071  7892   443    6     8
3279570349 1758552630  52355   443    6     1
1956922040 65866093  22018   443    6     1
195683446 378189281  771   432    1     1
261710970 2579574629  59043   443    6     5
730555812 99665261  17914   9339    6     1
730555769 16920503  51129   9339    6     2
833079417 100430796  42849   80    6     1
3691266349 1093329964  21430   7550    6     1
3481799671 23111433  39722   443    6     2
730555657 17573443  52498   9339    6     1
1142517675 3547002473  44085   80    6     1
840550568 23526501  59379   443    6     3
3575236596 737086365  30836   443    6     1
3081606949 18983061  33696   443    6     3
734605339 3710835828  60726   443    6     3
730555770 19033841  33591   9339    6     1
1113914553 1093329980  17645   6660    6     2
824714703 3710507845  60729   443    6     2
2476397434 99624908  60383   443    6     1
3565613206 314622020  58448   3389    6     1
3085944166 23905476  49316   443    6     1
3376091385 1146382136  36331   80    6     1
2153006336 737145419  36316   443    6     1
3617878624 602983364  48263   443    6     2
2116535857 99817536  42356   443    6     2
3562362248 1797005919  5556   443    6     2
2954644748 23116201  17694   80    6     1
253023921 1807547423  24476   7260    6     1
3617878745 602983364  59287   443    6     1
1956915575 66650915  38342   4244    6     1
730555780 19261681  49269   9339    6     1
172870889 99741997  55927   9339    6     1
2139847080 21220515  63423   443    6     1
1889291883 23106233  44403   443    6     1
1912604724 19848980  49629   443    6     3
1671310342 26236935  41321   8100    6     2
2593593192 1714138585  61308   443    6     31
2046430964 23820555  56677   80    6     2
1671310342 58983501  51598   8100    6     6
3080345473 66806613  63154   80    6     5
314048994 1797188512  51214   443    6     1
344508696 21758695  62674   80    6     1
1136968944 3548110351  37237   53    17     1
730555016 17630602  9931   9339    6     1
3573349152 3530309247  50881   80    6     13
1838352614 26651413  18732   9339    6     1
1783899794 16794068  13928   9339    6     1
2023790418 23472902  55225   443    6     1
1158489834 3010133878  35830   53    17     1
2593606399 1093332306  47207   80    6     1
1843751928 23116195  24418   80    6     1
2454254830 724248798  45267   80    6     1
3575236604 737086365  19310   443    6     1
3535428459 3504995977  35461   80    6     2
974124766 2579574341  44078   443    6     5
730555806 19012239  46661   9339    6     1
1113876992 67044187  20441   443    6     3
3348621109 3548110452  40961   53    17     1
1783899860 99651588  52075   9339    6     2
26174974 3710507837  62841   443    6     1
3450711665 99684944  58087   443    6     1
730555657 736977402  19465   9339    6     1
1671310356 26270610  40453   8100    6     10
2476397520 23482605  62003   443    6     8
3695849667 18962788  41747   443    6     2
1289093949 724248648  51544   443    6     10
3607011617 2579574381  37709   443    6     1
3403682112 23484847  50490   443    6     2
3064907741 2579574578  49947   443    6     10
2012344573 23513323  39084   443    6     1
1671310342 19904210  48701   8100    6     1
1980431470 1797240118  4869   80    6     1
1101171499 67020813  80   29077    6     4
1098155206 24100091  3389   56954    6     17
1881952513 2579592491  60939   443    6     1
2057186531 23824052  59383   443    6     1
730555768 17573443  3319   9339    6     1
3508827181 3328274672  8883   1028    6     1
3721794568 23115859  49501   80    6     1
1864759945 59385306  28802   443    6     2
1783899870 16794068  62234   9339    6     2
2595011964 3530299929  21306   5850    6     1
730555661 19033841  27331   9339    6     1
666229833 99734318  29271   9339    6     2
730554389 16918200  17058   9339    6     1
3489429519 23816529  50606   443    6     3
1956916276 737135090  65504   443    6     2
1982326010 23448751  53   33692    17     1
730555019 16922196  17400   9339    6     1
3675637183 3693459033  53   56067    17     1
3481799122 23111433  35098   443    6     12
169571167 2579574629  56906   443    6     1
2134302477 2579574649  40065   443    6     1
1800333995 3530307824  51803   80    6     2
1703001887 3530307824  62882   80    6     2
344508432 21158279  64089   443    6     7
1783899859 17573443  40257   9339    6     1
1671310357 58985818  58632   8100    6     2
1490197035 2453871834  443   35726    6     22
2390692341 1875764399  17117   60030    6     8
1593247763 20587217  44875   80    6     1
3602324479 602983415  57831   443    6     3
3347140005 26914765  59163   9339    6     2
1889291848 23107239  50542   443    6     1
730555745 16881078  60593   9339    6     1
730555752 19261681  13468   9339    6     2
485087017 23905534  41782   443    6     1
2016109979 734962107  31793   80    6     2
2476397427 21138109  52175   80    6     1
2076794778 23174808  49866   80    6     1
730555752 17573443  27549   9339    6     1
3692777672 724248602  80   47141    6     2
2063074682 100432468  51055   80    6     2
1671311014 58983501  56422   8100    6     4
730555750 19033841  8559   9339    6     1
2463070875 100432184  62520   80    6     1
730555773 17802978  2870   9339    6     1
1237401482 724248663  52274   80    6     2
3623954614 1607237552  443   64792    6     2
3575242206 737103513  29528   443    6     1
3354862501 300601288  80   43138    6     2
1998176586 1225185062  16787   49001    17     2
1783899791 24038194  4721   9339    6     1
2641434579 19667443  34100   443    6     2
730555772 16918200  3953   9339    6     2
1805944497 23105106  60153   80    6     9
3597182436 602983408  51072   443    6     6
3084234439 1797164910  53720   443    6     1
1713169203 2579574402  36622   9050    6     2
3692777668 724248618  80   6030    6     3
2116331301 21027124  65375   443    6     1
1956916758 23118148  22007   443    6     1
3692777671 724248593  2001   2001    17     7
1895041282 99836623  7116   9339    6     1
1875247636 3530307824  43062   80    6     2
3440274494 99814192  47007   443    6     2
730555790 16920503  60088   9339    6     1
730555799 16794434  40069   9339    6     2
1783899866 16881078  49516   9339    6     1
666230338 66651101  5975   4244    6     2
3635048272 958046864  80   50126    6     1
731118382 23105245  38134   80    6     13
1582095607 497249951  65015   53    17     1
1845051143 1797161907  61968   443    6     4
1517834402 2300814737  50500   16315    17     1
2153051948 17809998  17870   9339    6     1
1969123360 65970678  51140   443    6     2
3692777671 724248605  2001   2001    17     7
1895041025 99874293  63396   443    6     1
1968959787 23905048  54243   443    6     1
724250583 100432165  31816   80    6     3
3525132153 3504996050  80   41833    6     1
1752660090 2579592545  80   61473    6     2
1101171499 67040841  80   54224    6     4
1865122491 1158353668  35931   443    6     4
3597182461 602983381  52698   80    6     2
1671310342 26222897  42754   8100    6     2
1691659254 3547002473  63366   80    6     1
1159083278 721989028  38907   443    6     3
730555760 19068949  63522   9339    6     1
3599270024 3720596652  3389   1104    6     1
2153006071 26924305  55298   9339    6     1
2153051436 20973821  27930   80    6     12
2341638440 602983364  19454   443    6     9
3606108892 602983422  44842   443    6     1
1159083278 721989028  38909   443    6     3
2514485188 2828224118  36644   443    6     3
1783899909 27136379  2624   9339    6     1
218204724 19866816  63502   80    6     2
2153012373 99691662  39240   443    6     1
1671310357 19867329  51235   8100    6     4
1711709318 3710835939  60715   80    6     44
2047449542 23905910  39361   443    6     2
3391641966 21021237  57035   80    6     1
730555780 99651588  44340   9339    6     3
1688341816 100424890  49369   80    6     2
2363044660 2405637361  40500   54441    17     1
