originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
2122268285 3722029171  5060   5254    17     28
3692777687 724248601  2001   2001    17     4
1838352614 16881078  28622   9339    6     1
1113901407 1099793761  26240   80    6     6
1671311015 19822516  57115   8100    6     5
2186112225 66886951  40392   80    6     3
299413640 3710835920  443   55457    6     1
730555657 24038194  23820   9339    6     2
1101171499 18967123  80   44407    6     4
3597182444 602983377  43841   443    6     11
3341944999 1093333767  11464   80    6     4
2313533345 3710835829  63406   443    6     4
730555745 736977147  20064   9339    6     2
1111397545 3633623893  30053   45795    50     75
830678994 1225192135  12150   49158    17     10
387312272 3710836087  44137   443    6     22
3080623734 21102051  37613   443    6     4
3327711880 3327712048  17550   39680    17     15
730555799 26651413  57436   9339    6     1
1225377459 3710835952  51984   80    6     463
1671311015 19741114  54793   8100    6     6
3525132212 2766909303  80   58406    6     4
1805950266 26274447  41620   443    6     2
730555761 19261681  45429   9339    6     5
190895773 23907519  51295   80    6     2
3081250802 19777928  51884   443    6     6
849266097 66867855  3309   443    6     5
3548110084 3326272516  53   14364    17     1
2812118057 65833397  64148   443    6     3
2476397394 59349838  60777   80    6     8
2747489969 52962522  48279   443    6     1
2114342610 2579609727  40273   3491    17     25
1805949971 1797126337  47839   80    6     2
2476397528 19837010  57705   443    6     6
3068253308 721980380  50754   80    6     1
3675596918 2579574503  55637   80    6     4
1956916809 24942350  48874   443    6     1
3481855572 23111503  21280   443    6     30
1259339544 724248746  55182   80    6     67
1872778412 1875764394  51002   8080    17     165
1113880608 2612429371  10327   80    6     2
1956959193 1797230141  53833   80    6     2
1807518505 1758553471  1196   60812    17     74
3538866150 736917443  64384   443    6     2
2388806451 1177999167  24874   51529    6     2
3329097477 100412018  10055   80    6     4
1113880653 3530304411  31475   80    6     3
1224859227 2579592613  38908   9050    6     3
1224859227 2579592646  64357   9050    6     2
1671311028 19904210  43473   8100    6     3
2244928294 602983411  57964   443    6     4
1760125422 2310428126  50845   80    6     2
3327712493 3327712020  46976   49012    17     15
1838352470 26872452  23715   9339    6     1
730555779 16794068  13792   9339    6     2
2451468817 2579609721  16402   3490    17     31
1956896562 737139946  60056   443    6     1
3565613206 314623826  58331   3389    6     3
317284513 2637241578  61086   63399    6     3
1913256892 19803723  47398   443    6     7
2862800853 734962107  48358   80    6     11
730555779 736977402  51855   9339    6     1
3525132212 1115937366  80   53441    6     4
1956958446 2310526940  31341   6667    6     1
1905557386 737120540  61781   443    6     3
1758482861 1176403105  80   4686    6     2
3575236597 66651106  23244   4244    6     3
849264702 65953440  2655   443    6     11
1805944763 2310437669  51344   80    6     2
236719910 2579574438  44345   80    6     4
345650527 67055318  54463   443    6     1
3532343051 1875660614  51726   8080    6     2
